date,rank,id_emailed,id_viewed,id_facebook
2019-01-01,1,795,12406,12930
2019-01-01,2,3394,13879,13879
2019-01-01,3,4126,994,2692
2019-01-01,4,12689,8361,8361
2019-01-01,5,2692,427,10393
2019-01-01,6,8573,2491,4250
2019-01-01,7,158,861,2491
2019-01-01,8,13683,11137,6467
2019-01-01,9,4250,5556,3621
2019-01-01,10,4543,2647,12928
2019-01-01,11,1579,13489,10916
2019-01-01,12,9355,363,343
2019-01-01,13,12930,5025,3627
2019-01-01,14,10393,4943,7735
2019-01-01,15,13272,10247,994
2019-01-01,16,1377,1620,4310
2019-01-01,17,7603,6646,8775
2019-01-01,18,8775,6092,2912
2019-01-01,19,4265,6418,12310
2019-01-01,20,739,1740,2906
2019-01-06,1,2143,12930,2533
2019-01-06,2,6126,2533,283
2019-01-06,3,13066,13879,13004
2019-01-06,4,283,994,13447
2019-01-06,5,9483,12083,2143
2019-01-06,6,9020,3143,12412
2019-01-06,7,11922,2491,12083
2019-01-06,8,13447,5029,834
2019-01-06,9,8361,7513,6126
2019-01-06,10,5154,13066,8221
2019-01-06,11,11709,707,9020
2019-01-06,12,3838,13004,4088
2019-01-06,13,11718,2237,10356
2019-01-06,14,4088,10478,8361
2019-01-06,15,11886,3902,11290
2019-01-06,16,6310,7603,13066
2019-01-06,17,13870,4250,13879
2019-01-06,18,6087,3241,9710
2019-01-06,19,3795,343,6784
2019-01-06,20,5736,8741,10608
2019-01-11,1,7264,2533,9575
2019-01-11,2,7371,7264,1189
2019-01-11,3,78,5421,7264
2019-01-11,4,772,7294,12804
2019-01-11,5,10483,12083,1054
2019-01-11,6,10701,283,78
2019-01-11,7,8702,13447,6126
2019-01-11,8,3117,7018,13447
2019-01-11,9,5240,12836,3117
2019-01-11,10,545,13066,10483
2019-01-11,11,8164,2688,10281
2019-01-11,12,6283,11922,283
2019-01-11,13,6463,6126,10777
2019-01-11,14,8278,13004,772
2019-01-11,15,6262,5029,12647
2019-01-11,16,3847,9221,2413
2019-01-11,17,6126,7513,2017
2019-01-11,18,8367,4146,11302
2019-01-11,19,6263,78,12836
2019-01-11,20,8735,834,10813
2019-01-13,1,4653,2533,13269
2019-01-13,2,13269,7264,10268
2019-01-13,3,7264,13269,7565
2019-01-13,4,6839,5421,7264
2019-01-13,5,12117,7294,8980
2019-01-13,6,13691,12083,4653
2019-01-13,7,12600,283,8042
2019-01-13,8,5437,13447,9575
