"","x"
"(Intercept)",-11.6963251404948
"t_num",0.000165816474408153
"I(t_num^2)",-3.25457288186504e-08
"word_count",-0.00170811026195306
"headline_main_len",0.259721186826704
"snippet_len",0.0931013649189483
"section_nameArchives",9.64037316132444
"section_nameArts",13.9510127228722
"section_nameAt Home",3.91631000190915
"section_nameAutomobiles",-0.0993798155024166
"section_nameBooks",12.799844500856
"section_nameBriefing",13.0200467413973
"section_nameBusiness Day",14.2574740057568
"section_nameClimate",9.81947091842367
"section_nameCrosswords & Games",11.3408107701394
"section_nameEducation",1.69135704202596
"section_nameFashion & Style",20.7771337425228
"section_nameFood",12.9734429260018
"section_nameHealth",13.3198554383147
"section_nameMagazine",13.872592694229
"section_nameMovies",13.2326993228946
"section_nameNew York",15.3996691184058
"section_nameObituaries",16.5691492497525
"section_nameOpinion",7.5463651204432
"section_nameParenting",22.8470254104371
"section_namePodcasts",21.183800173587
"section_nameReader Center",5.97167552829645
"section_nameReal Estate",16.5917493317588
"section_nameScience",15.4083616510825
"section_nameSpecial Series",10.9902485695167
"section_nameSports",16.3622470710005
"section_nameStyle",18.9022587582435
"section_nameSunday Review",9.38532226516611
"section_nameT Magazine",11.0009569041847
"section_nameTechnology",12.34786824673
"section_nameThe Learning Network",6.34862356706217
"section_nameThe Upshot",9.85632558125747
"section_nameTheater",18.5459190518213
"section_nameTimes Insider",6.83575418047304
"section_nameTravel",10.5010770982782
"section_nameU.S.",17.3197835570642
"section_nameVideo",15.5126042922853
"section_nameWell",11.7238821961551
"section_nameWorld",16.6418368369552
"section_nameYour Money",11.8881882801882
"print",-2.10270332000893
"topic_1",-12.5322154912144
"topic_2",-30.3120047983513
"topic_3",-10.2604257250732
"topic_4",-7.27332473627181
"topic_5",3.03320772141001
"topic_6",5.74568722127762
"topic_7",-12.8051135771797
"topic_8",2.02763859270451
"topic_9",-7.34222454610799
"topic_10",5.72534576223801
"topic_11",13.6519764523304
"topic_12",-15.3136569419663
"topic_13",-8.54224287933152
"topic_14",-3.76192589284918
"topic_15",0.135799126848379
"topic_16",10.2980021856071
"topic_17",-34.0626855125207
"topic_18",-4.71278824811414
"topic_19",0.612122738012591
"topic_20",20.107417982811
"topic_21",-9.66314823283689
"topic_22",-16.6643110763797
"topic_23",-10.6392708523487
"topic_24",-2.07986891266557
"topic_25",11.4669888232398
"topic_26",-9.75881933684733
"topic_27",7.16492633418059
"topic_28",-13.8336308555366
"topic_29",1.51183697535567
"topic_30",-5.31190709569439
"topic_31",7.26196363981179
"topic_32",-5.46997724010601
"topic_33",7.79316760910964
"topic_34",-3.58283143335316
"topic_35",-16.4578458804527
"topic_36",10.0342727017204
"topic_37",2.65813431868885
"topic_38",-3.49795563749952
"topic_39",-13.734220268202
